full_name,short_name
湖南兴湘投资有限公司										,兴湘投资
Georgian Pine Investments LLC										,Georgian Pine
Sigma Gestion										,Sigma Gestion
北京极客帮创业投资合伙企业										,极客帮创投
北京道合金泽投资管理有限公司										,道合金泽中国
深圳市同威投资管理有限公司										,同威资本
Full Speed										,Full Speed
深圳市平安创新资本投资有限公司										,平安创新资本
山东华众沃赋股权投资管理有限公司										,华众沃赋
天津海泰戈壁创业投资管理有限公司										,海泰戈壁创投
北京中经世纪投资有限公司										,中经世纪
北京健坤投资集团有限公司										,健坤投资
宁波东元创业投资有限公司										,东元创投
重庆北部新区互联网金融产业投资										,重庆北部新区互联网金融
红点风险投资										,红点投资
北京金盛博基资产管理有限公司										,金盛博基
新浪微博基金（微创投）										,新浪微创投
深圳市和泰成长创业投资有限责任公司										,和泰成长创投
北京国有资本经营管理中心										,北京国有资本
立讯精密工业股份有限公司										,立讯精密
新丝路专业教育基金										,新丝路教育基金
珠海市和缘创业投资有限公司										,和缘创投
上海小村资产管理有限公司										,小村投资
宁波信达汉石投资管理有限公司										,信达汉石投资
北京鑫融恒基投资中心（有限合伙）										,鑫融恒基投资
湖北高投鑫龙投资管理有限公司										,湖北高投鑫龙投资管理有限公司
前海开源										,前海开源基金
德丰杰风险投资										,德丰杰
瑞士信贷										,瑞士信贷
罗湖区珠宝产业扶持基金										,罗湖区珠宝基金
费伦资本基金管理公司										,费伦资本
ABS Capital Partners										,ABS Capital Partners
加通贝祥										,加通贝祥
威盛（天津）股权投资基金管理有限公司										,威盛股权投资
清流（北京）投资咨询有限公司										,清流资本
北京世纪天富创业投资中心（有限合伙）										,世纪天富创投
Mack Capital										,Mack Capital
"FTV Management Company, L.P.										",FTV Capital
光合空间（北京）企业孵化器有限公司										,光合空间
昆山市国科创业投资有限公司										,国科创投
FIL Capital Management Limited										,FIL Capital
中国生物医药基金I期（普通合伙）										,中国生物医药基金I期（普通合伙）
吉富创业投资股份有限公司										,吉富创投
3i集团										,3i
Shah Capital										,Shah Capital
苏州工业园区华穗创业投资管理有限公司										,华穗创投
赛伯乐创投										,赛伯乐
深圳市融创创业投资有限公司										,融创投资
苏州北极光腾源创业投资管理有限公司										,北极光腾源
